"set_id","code","name"
331,"alte_detalii_global","Alte detalii"
331,"brand","Brand"
331,"continut_pachet_global","Continut pachet"
331,"cosmetice_acoperire_textura","Textura"
331,"produse_cosmetice_valabilitate","Valabilitate"
331,"cosmetice_beneficii","Beneficii"
331,"cantitate_text_global","Cantitate"
331,"produse_cosmetice_recomandari","Recomandari"
331,"cosmetice_tip_produs","Tip produs"
331,"cosmetice_set","Set"
331,"cosmetice_gama","Gama"
331,"cosmetice_cantitate_variante","Cantitate"
331,"cosmetice_utilizare","Pentru"
331,"cosmetice_aroma_text","Aroma"
331,"cosmetice_bio","Produs"
331,"cosmetice_gel_sampon_cantitate_int","Cantitate (ml)"
331,"cosmetice_aroma_variante","Aroma/Gama"
331,"eol_status","End-of-life Status"
331,"endoflife_date","End-of-Life Date"
331,"certification_code","EPREL code"
331,"d365_category_purchase","ERP Category Purchase"
331,"adresa_postala_producator_gpsr","Adresa postala producator"
331,"nume_producator_gpsr","Nume producator"
331,"delivery_info","Delivery info"
331,"dfdeliveryinfotest","dfdeliveryinfoTest"
331,"price_factor","Price factor"
331,"price_unit","Price unit"
585,"brand","Brand"
585,"numar_bucati_global","Numar bucati"
585,"continut_pachet_global","Continut pachet"
585,"produse_cosmetice_recomandari","Recomandari"
585,"lungime_global","Lungime"
585,"latime_global","Latime"
585,"pentru_adulti_copii_global","Pentru"
585,"branturi_plasturi_utilizare","Utilizare"
585,"eol_status","End-of-life Status"
585,"endoflife_date","End-of-Life Date"
585,"plasturi_zona_corporala","Zona corporala"
585,"produse_medicale_tip_produs","Tip produs"
585,"plasturi_proprietati","Proprietati"
585,"certification_code","EPREL code"
585,"d365_category_purchase","ERP Category Purchase"
585,"adresa_postala_producator_gpsr","Adresa postala producator"
585,"nume_producator_gpsr","Nume producator"
585,"delivery_info","Delivery info"
585,"dfdeliveryinfotest","dfdeliveryinfoTest"
585,"price_factor","Price factor"
585,"price_unit","Price unit"
669,"brand","Brand"
669,"culoare_global","Culoare"
669,"material_multiselect_global","Material"
669,"numar_bucati_global","Numar bucati"
669,"dimensiuni_l_x_l_cm_global","Dimensiuni (L x I cm)"
669,"incaltaminte_imbracaminte_protectie_tip_protectie","Utilizat impotriva"
669,"echipamente_protectie_destinatie","Destinat pentru"
669,"eol_status","End-of-life Status"
669,"endoflife_date","End-of-Life Date"
669,"certification_code","EPREL code"
669,"echipamente_protectie_avantaje","Proprietati"
669,"masti_protectie_standard","Standard"
669,"masti_protectie_nr_pliuri","Numar pliuri"
669,"masti_protectie_utilizare_pentru","Utilizator"
669,"masti_protectie_nr_straturi","Numar straturi"
669,"d365_category_purchase","ERP Category Purchase"
669,"adresa_postala_producator_gpsr","Adresa postala producator"
669,"nume_producator_gpsr","Nume producator"
669,"delivery_info","Delivery info"
669,"dfdeliveryinfotest","dfdeliveryinfoTest"
669,"price_factor","Price factor"
669,"price_unit","Price unit"