"invoice_id","invoice_number","products","media","invoice_date","order_id"
227356,"185445","[{""id"":297753,""seller_product_code"":""OSCAR SCOTCH ATX"",""external_id"":""67EC07C9E3675"",""product_id"":""67ebcf30840777fb69028206"",""product"":{},""name"":""Banda adeziva de tip scotch Oscar, 48mmx80m 6 buc/set, transparent"",""catalog_price"":27,""selling_price"":27,""row_total"":27,""voucher"":0,""quantity"":1,""status"":3,""commission"":1.82,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861940},""created_at"":""2025-06-20T07:26:06+00:00"",""updated_at"":""2025-06-23T14:00:34+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518295/","2025-06-23T11:59:35+00:00",267035
227301,"185426","[{""id"":297669,""seller_product_code"":""Set 3*PureBaby Bamboo Nr. 5, +Pure 120buc ATX"",""external_id"":""682601B288552"",""product_id"":""68258adf966ad21e090ef7bb"",""product"":{},""name"":""Set 3 pachete Pure Baby Organic Bamboo Nr. 5, scutece chilotel 120buc, cu 1 pachet servetele umede copii Pure, 120buc"",""catalog_price"":119,""selling_price"":119,""row_total"":119,""voucher"":0,""quantity"":1,""status"":3,""commission"":8,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":930728},""created_at"":""2025-06-20T03:38:02+00:00"",""updated_at"":""2025-06-23T14:00:34+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518158/","2025-06-23T11:28:56+00:00",266962
227300,"185427","[{""id"":297356,""seller_product_code"":""SCUTECE PURE BABY BAMBUS NO.5 ATX"",""external_id"":""67F00243676DD"",""product_id"":""67efcfa218668504c50ae8af"",""product"":{},""name"":""Scutece-chilotel Pure Baby Organic Bamboo, nr.5, 11-20 kg, 40 bucati"",""catalog_price"":39.9,""selling_price"":39.9,""row_total"":39.9,""voucher"":0,""quantity"":1,""status"":3,""commission"":2.68,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":864958},""created_at"":""2025-06-19T12:50:02+00:00"",""updated_at"":""2025-06-23T14:00:34+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518157/","2025-06-23T11:28:33+00:00",266703
227298,"185428","[{""id"":296859,""seller_product_code"":""Set 3*PureBaby Bamboo Nr. 5, +Pure 120buc ATX"",""external_id"":""682601B288552"",""product_id"":""68258adf966ad21e090ef7bb"",""product"":{},""name"":""Set 3 pachete Pure Baby Organic Bamboo Nr. 5, scutece chilotel 120buc, cu 1 pachet servetele umede copii Pure, 120buc"",""catalog_price"":119,""selling_price"":119,""row_total"":119,""voucher"":0,""quantity"":1,""status"":9,""commission"":8,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":930728},""created_at"":""2025-06-18T14:54:02+00:00"",""updated_at"":""2025-06-23T11:28:03+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518155/","2025-06-23T11:28:03+00:00",266237
227297,"185429","[{""id"":296692,""seller_product_code"":""OSCAR M. LATEX M ATX"",""external_id"":""67ECD2B3D8C8D"",""product_id"":""67ecd0ac990629672306d209"",""product"":{},""name"":""Manusi Latex usor pudrate Oscar, masura M, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":862450},""created_at"":""2025-06-18T09:24:02+00:00"",""updated_at"":""2025-06-23T11:27:37+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518154/","2025-06-23T11:27:37+00:00",266077
227296,"185430","[{""id"":296620,""seller_product_code"":""GEL DE DUS  LE JARDIN FREZIE ATX"",""external_id"":""67FE75857C4F5"",""product_id"":""67fe05a6f96715a9de0df1cd"",""product"":{},""name"":""Gel de dus Dalan Le Jardin Frezie & Mazare Dulce, 500ml"",""catalog_price"":13,""selling_price"":13,""row_total"":13,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.87,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":894185},""created_at"":""2025-06-18T07:14:03+00:00"",""updated_at"":""2025-06-23T11:27:11+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518152/","2025-06-23T11:27:11+00:00",266012
227295,"185431","[{""id"":296355,""seller_product_code"":""ODORIZANT BRIZA MARII 120ML ATX"",""external_id"":""67FFDBA2653D8"",""product_id"":""67ffb27520a634bd510af264"",""product"":{},""name"":""Odorizant de camera cu betisoare Purelife, 120 ml, Briza Marii"",""catalog_price"":16.98,""selling_price"":16.98,""row_total"":16.98,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.14,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":896155},""created_at"":""2025-06-17T15:02:03+00:00"",""updated_at"":""2025-06-23T11:26:19+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1518150/","2025-06-23T11:26:19+00:00",265770
225055,"185025","[{""id"":295436,""seller_product_code"":""ODORIZANT CIRESE 120ML ATX"",""external_id"":""67FFDBE81918F"",""product_id"":""67ffbc6b47969860f80ad658"",""product"":{},""name"":""Odorizant de camera cu betisoare Purelife, 120ml, cirese"",""catalog_price"":16.98,""selling_price"":16.98,""row_total"":16.98,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.14,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":896200},""created_at"":""2025-06-16T08:42:03+00:00"",""updated_at"":""2025-06-18T06:30:51+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1498860/","2025-06-17T14:06:21+00:00",264913
225054,"185026","[{""id"":295209,""seller_product_code"":""OSCAR M. NITRIL M ATX"",""external_id"":""67EAC3ACA4B01"",""product_id"":""67ea7ba829c9a4fca5073d98"",""product"":{},""name"":""Manusi Nitril nepudrate Oscar, masura M, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861071},""created_at"":""2025-06-15T17:10:02+00:00"",""updated_at"":""2025-06-18T14:00:35+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1498854/","2025-06-17T14:05:53+00:00",264699
225053,"185027","[{""id"":294384,""seller_product_code"":""REZERVA ODORIZANT LAVANDA 210ML ATX"",""external_id"":""6807B6562BE5A"",""product_id"":""68078d63f8883e341604b508"",""product"":{},""name"":""Rezerva odorizant de camera Pure Air Lavanda, 210 ml"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":904616},""created_at"":""2025-06-14T04:54:05+00:00"",""updated_at"":""2025-06-19T10:30:27+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1498851/","2025-06-17T14:05:24+00:00",263955
225052,"185030","[{""id"":294306,""seller_product_code"":""SERVETELE PURE SOFT TOUCH 120 ATX"",""external_id"":""67EB8839471F9"",""product_id"":""67eb83dc906cd0503a0b63f6"",""product"":{},""name"":""Servetele umede Pure Premium Soft touch mix, 120buc"",""catalog_price"":9.5,""selling_price"":9.5,""row_total"":19,""voucher"":0,""quantity"":2,""status"":9,""commission"":1.28,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861534},""created_at"":""2025-06-13T18:08:03+00:00"",""updated_at"":""2025-06-18T13:30:36+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1498847/","2025-06-17T14:03:09+00:00",263881
223476,"184922","[{""id"":292569,""seller_product_code"":""ODORIZANT MENTA 120ML ATX"",""external_id"":""67FFDBE54DDF7"",""product_id"":""67ffbbd41c3370de5407ce80"",""product"":{},""name"":""Odorizant de camera cu betisoare Purelife, 120ml, menta"",""catalog_price"":16.98,""selling_price"":16.98,""row_total"":16.98,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.14,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":896198},""created_at"":""2025-06-10T19:36:02+00:00"",""updated_at"":""2025-06-13T14:15:08+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488135/","2025-06-13T14:15:08+00:00",262324
223482,"184927","[{""id"":291595,""seller_product_code"":""CREMA DE MAINI STRUGURI 60ML ATX"",""external_id"":""67FE7CEF47DAD"",""product_id"":""67fe339433979868ca02139a"",""product"":{},""name"":""Crema de corp si maini Dalan D'Olive cu samburi de struguri, 60ml"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":894440},""created_at"":""2025-06-09T09:50:02+00:00"",""updated_at"":""2025-06-13T14:19:49+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488146/","2025-06-13T14:19:49+00:00",261402
223481,"184926","[{""id"":290413,""seller_product_code"":""SAMPON DALAN VOLUM ATX"",""external_id"":""67FE75B2B935D"",""product_id"":""67fe0c1b74dd9605570a2576"",""product"":{},""name"":""Sampon pentru volum Dalan d'Olive, 400ml"",""catalog_price"":18.5,""selling_price"":18.5,""row_total"":111,""voucher"":0,""quantity"":6,""status"":9,""commission"":7.46,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":894213},""created_at"":""2025-06-07T04:50:02+00:00"",""updated_at"":""2025-06-13T14:19:05+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488145/","2025-06-13T14:19:05+00:00",260305
223480,"184925","[{""id"":290059,""seller_product_code"":""SCUTECE PURE BABY BAMBUS NO.3 ATX"",""external_id"":""67ED513D43619"",""product_id"":""67ecddefa9dbdba022016a13"",""product"":{},""name"":""Scutece-chilotel Pure Baby Organic Bamboo, nr.3, 4-10 kg, 56 bucati"",""catalog_price"":39.9,""selling_price"":39.9,""row_total"":39.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":2.68,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":862480},""created_at"":""2025-06-06T10:30:03+00:00"",""updated_at"":""2025-06-13T14:18:35+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488144/","2025-06-13T14:18:35+00:00",259977
223475,"184921","[{""id"":288857,""seller_product_code"":""ODORIZANT AMBRA 120ML ATX"",""external_id"":""67FFDBD1C042A"",""product_id"":""67ffb72dac79d5e6ac0f336a"",""product"":{},""name"":""Odorizant de camera cu betisoare Purelife, 120 ml, Ambra"",""catalog_price"":16.98,""selling_price"":16.98,""row_total"":16.98,""voucher"":0,""quantity"":1,""status"":5,""commission"":1.14,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":896184},""created_at"":""2025-06-04T08:22:02+00:00"",""updated_at"":""2025-06-13T14:14:17+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488123/","2025-06-13T14:14:17+00:00",258881
223479,"184924","[{""id"":288767,""seller_product_code"":""OSCAR M. LATEX S ATX"",""external_id"":""67ECD2ACBF8C0"",""product_id"":""67ecd05baff02a5dbf025bb0"",""product"":{},""name"":""Manusi Latex usor pudrate Oscar, masura S, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":39,""voucher"":0,""quantity"":2,""status"":9,""commission"":2.62,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":862408},""created_at"":""2025-06-04T05:56:02+00:00"",""updated_at"":""2025-06-13T14:16:53+00:00""},{""id"":288766,""seller_product_code"":""OSCAR M. LATEX M ATX"",""external_id"":""67ECD2B3D8C8D"",""product_id"":""67ecd0ac990629672306d209"",""product"":{},""name"":""Manusi Latex usor pudrate Oscar, masura M, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":862450},""created_at"":""2025-06-04T05:56:02+00:00"",""updated_at"":""2025-06-13T14:16:53+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488143/","2025-06-13T14:16:53+00:00",258798
223478,"184923","[{""id"":288705,""seller_product_code"":""SET 12*PURE LILIAC 120 ATX"",""external_id"":""68012DD695B27"",""product_id"":""6800f26ec50a85e57b0801cf"",""product"":{},""name"":""Set servetele umede Pure, 12 pachete x 120 buc, Liliac"",""catalog_price"":65,""selling_price"":65,""row_total"":65,""voucher"":0,""quantity"":1,""status"":9,""commission"":4.37,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":897641},""created_at"":""2025-06-03T20:24:02+00:00"",""updated_at"":""2025-06-13T14:15:48+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1488142/","2025-06-13T14:15:48+00:00",258746
221908,"184673","[{""id"":288313,""seller_product_code"":""SERVETELE PURE 120 TRANDAFIR ATX"",""external_id"":""67EC008A3B8E8"",""product_id"":""67eb9f4a592fb4c1370bf84d"",""product"":{},""name"":""Servetele umede Pure, Trandafir, 120buc/pachet"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861670},""created_at"":""2025-06-03T09:04:05+00:00"",""updated_at"":""2025-06-10T14:33:53+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1479728/","2025-06-10T14:33:53+00:00",258394
221910,"184675","[{""id"":288225,""seller_product_code"":""OSCAR M. LATEX S ATX"",""external_id"":""67ECD2ACBF8C0"",""product_id"":""67ecd05baff02a5dbf025bb0"",""product"":{},""name"":""Manusi Latex usor pudrate Oscar, masura S, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":862408},""created_at"":""2025-06-03T06:24:02+00:00"",""updated_at"":""2025-06-10T14:35:22+00:00""},{""id"":288226,""seller_product_code"":""OSCAR M. NITRIL S ATX"",""external_id"":""67EAC3A8D6B67"",""product_id"":""67ea7adda99ef6397e0aac62"",""product"":{},""name"":""Manusi Nitril nepudrate Oscar, masura S, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861068},""created_at"":""2025-06-03T06:24:02+00:00"",""updated_at"":""2025-06-10T14:35:22+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1479730/","2025-06-10T14:35:22+00:00",258312
221909,"184674","[{""id"":288001,""seller_product_code"":""SCUTEC PURE BABY NO.5 ATX"",""external_id"":""67EBFFCE7C339"",""product_id"":""67eb8e52e5accc8d0f08905b"",""product"":{},""name"":""Scutece Pure Baby Nr. 5, 11-20kg, 40 buc./pachet"",""catalog_price"":39.9,""selling_price"":39.9,""row_total"":39.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":2.68,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861551},""created_at"":""2025-06-02T15:50:02+00:00"",""updated_at"":""2025-06-10T14:34:31+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1479729/","2025-06-10T14:34:31+00:00",258102
218924,"184464","[{""id"":286392,""seller_product_code"":""OSCAR M. NITRIL S ATX"",""external_id"":""67EAC3A8D6B67"",""product_id"":""67ea7adda99ef6397e0aac62"",""product"":{},""name"":""Manusi Nitril nepudrate Oscar, masura S, 100 buc"",""catalog_price"":19.5,""selling_price"":19.5,""row_total"":19.5,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.31,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861068},""created_at"":""2025-05-29T16:12:01+00:00"",""updated_at"":""2025-06-03T10:30:24+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1459350/","2025-06-03T08:24:17+00:00",256660
218925,"184463","[{""id"":285898,""seller_product_code"":""REZERVA ODORIZANT SPRING 210ML ATX"",""external_id"":""6807B6506C516"",""product_id"":""68078baf5c11f15d48056220"",""product"":{},""name"":""Rezerva odorizant de camera Pure Air Spring, 210 ml"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":904612},""created_at"":""2025-05-28T12:30:02+00:00"",""updated_at"":""2025-06-03T08:24:55+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1459351/","2025-06-03T08:24:55+00:00",256196
218909,"184456","[{""id"":285819,""seller_product_code"":""SERVETELE BABY SOFT MOV 120 ATX"",""external_id"":""67EC07BAA07DA"",""product_id"":""67ebc9e83a98ba4e3f0c9ec6"",""product"":{},""name"":""Servetele umede BabySoft SuperSoft, 120buc/pachet"",""catalog_price"":8.9,""selling_price"":8.9,""row_total"":17.8,""voucher"":0,""quantity"":2,""status"":9,""commission"":1.2,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861926},""created_at"":""2025-05-28T09:32:01+00:00"",""updated_at"":""2025-06-03T08:11:32+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1459301/","2025-06-03T08:11:32+00:00",256126
218923,"184458","[{""id"":285662,""seller_product_code"":""REZERVA ODORIZANT BUBBLE GUM 210ML ATX"",""external_id"":""6807B66DA80EF"",""product_id"":""680791c716449ef80e0047c1"",""product"":{},""name"":""Rezerva odorizant de camera Pure Air Bubble Gum, 210 ml"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":904631},""created_at"":""2025-05-27T21:38:03+00:00"",""updated_at"":""2025-06-03T08:18:03+00:00""},{""id"":285663,""seller_product_code"":""REZERVA ODORIZANT LAVANDA 210ML ATX"",""external_id"":""6807B6562BE5A"",""product_id"":""68078d63f8883e341604b508"",""product"":{},""name"":""Rezerva odorizant de camera Pure Air Lavanda, 210 ml"",""catalog_price"":9.9,""selling_price"":9.9,""row_total"":9.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.67,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":904616},""created_at"":""2025-05-27T21:38:03+00:00"",""updated_at"":""2025-06-03T08:18:03+00:00""},{""id"":285664,""seller_product_code"":""ODORIZANT GUMA DE MESTECAT 120ML ATX"",""external_id"":""67FFDBC789137"",""product_id"":""67ffb3fc52f911a5cb01039f"",""product"":{},""name"":""Odorizant de camera cu betisoare Purelife, 120 ml, Guma de mestecat"",""catalog_price"":16.98,""selling_price"":16.98,""row_total"":16.98,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.14,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":896176},""created_at"":""2025-05-27T21:38:03+00:00"",""updated_at"":""2025-06-03T08:18:03+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1459338/","2025-06-03T08:18:03+00:00",255991
218911,"184457","[{""id"":285479,""seller_product_code"":""SERVETELE BABY SOFT SUPER 120 ATX"",""external_id"":""67EC071EADF0E"",""product_id"":""67ebc4f0c3daa51ce7011710"",""product"":{},""name"":""Servetele umede BabySoft, 120buc/pachet"",""catalog_price"":8.9,""selling_price"":8.9,""row_total"":8.9,""voucher"":0,""quantity"":1,""status"":9,""commission"":0.6,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":861817},""created_at"":""2025-05-27T15:16:01+00:00"",""updated_at"":""2025-06-03T08:12:20+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1459303/","2025-06-03T08:12:20+00:00",255816
216925,"184254","[{""id"":284419,""seller_product_code"":""SET 3*PURE 120 ATX"",""external_id"":""68127442B309A"",""product_id"":""681216fe0f76d3a1350a2708"",""product"":{},""name"":""Set servetele umede Pure, 3 pachete x 120 buc "",""catalog_price"":24,""selling_price"":24,""row_total"":24,""voucher"":0,""quantity"":1,""status"":9,""commission"":1.61,""commission_percent"":8,""vat"":19,""aditional_data"":{""offer_id"":915522},""created_at"":""2025-05-25T17:22:02+00:00"",""updated_at"":""2025-05-28T12:27:24+00:00""}]","https://marketplace.altex.ro/v1.0/media/download/1442307/","2025-05-28T12:27:23+00:00",254854